Date,Top 3 Sectors,Weights
2015-01-31,"['XLB', 'XLC', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-02-28,"['XLB', 'XLC', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-03-31,"['XLB', 'XLC', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-04-30,"['XLE', 'XLB', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-05-31,"['XLE', 'XLF', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-06-30,"['XLY', 'XLE', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-07-31,"['XLY', 'XLP', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-08-31,"['XLY', 'XLU', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-09-30,"['XLU', 'XLY', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-10-31,"['XLK', 'XLY', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-11-30,"['XLY', 'XLK', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2015-12-31,"['XLK', 'XLP', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-01-31,"['XLU', 'XLP', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-02-29,"['XLU', 'XLP', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-03-31,"['XLU', 'XLP', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-04-30,"['XLB', 'XLI', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-05-31,"['XLE', 'XLF', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-06-30,"['XLU', 'XLRE', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-07-31,"['XLRE', 'XLU', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-08-31,"['XLK', 'XLI', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-09-30,"['XLK', 'XLF', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-10-31,"['XLK', 'XLF', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-11-30,"['XLF', 'XLI', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2016-12-31,"['XLF', 'XLI', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-01-31,"['XLF', 'XLI', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-02-28,"['XLP', 'XLK', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-03-31,"['XLV', 'XLK', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-04-30,"['XLV', 'XLP', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-05-31,"['XLU', 'XLK', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-06-30,"['XLV', 'XLRE', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-07-31,"['XLV', 'XLU', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-08-31,"['XLV', 'XLF', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-09-30,"['XLE', 'XLB', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-10-31,"['XLB', 'XLK', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-11-30,"['XLB', 'XLE', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2017-12-31,"['XLY', 'XLB', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-01-31,"['XLY', 'XLP', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-02-28,"['XLY', 'XLF', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-03-31,"['XLY', 'XLE', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-04-30,"['XLU', 'XLE', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-05-31,"['XLE', 'XLRE', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-06-30,"['XLY', 'XLRE', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-07-31,"['XLP', 'XLV', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-08-31,"['XLV', 'XLU', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-09-30,"['XLV', 'XLI', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-10-31,"['XLU', 'XLP', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-11-30,"['XLU', 'XLP', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2018-12-31,"['XLU', 'XLRE', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-01-31,"['XLRE', 'XLU', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-02-28,"['XLRE', 'XLU', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-03-31,"['XLRE', 'XLP', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-04-30,"['XLK', 'XLP', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-05-31,"['XLRE', 'XLU', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-06-30,"['XLF', 'XLY', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-07-31,"['XLB', 'XLP', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-08-31,"['XLU', 'XLRE', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-09-30,"['XLU', 'XLRE', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-10-31,"['XLU', 'XLRE', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-11-30,"['XLF', 'XLV', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2019-12-31,"['XLV', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-01-31,"['XLU', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-02-29,"['XLC', 'XLU', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-03-31,"['XLC', 'XLK', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-04-30,"['XLC', 'XLY', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-05-31,"['XLV', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-06-30,"['XLY', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-07-31,"['XLY', 'XLK', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-08-31,"['XLY', 'XLK', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-09-30,"['XLP', 'XLY', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-10-31,"['XLU', 'XLY', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-11-30,"['XLU', 'XLB', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2020-12-31,"['XLF', 'XLI', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-01-31,"['XLE', 'XLF', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-02-28,"['XLF', 'XLC', 'XLE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-03-31,"['XLE', 'XLF', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-04-30,"['XLF', 'XLI', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-05-31,"['XLRE', 'XLP', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-06-30,"['XLRE', 'XLC', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-07-31,"['XLV', 'XLK', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-08-31,"['XLV', 'XLK', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-09-30,"['XLC', 'XLV', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-10-31,"['XLE', 'XLY', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-11-30,"['XLY', 'XLE', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-12-31,"['XLU', 'XLV', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-01-31,"['XLP', 'XLE', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-02-28,"['XLE', 'XLP', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-03-31,"['XLE', 'XLU', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-04-30,"['XLE', 'XLU', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-05-31,"['XLU', 'XLE', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-06-30,"['XLE', 'XLU', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-07-31,"['XLU', 'XLV', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-08-31,"['XLU', 'XLP', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-09-30,"['XLE', 'XLF', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-10-31,"['XLE', 'XLV', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-11-30,"['XLV', 'XLE', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-12-31,"['XLP', 'XLI', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-01-31,"['XLB', 'XLC', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-02-28,"['XLF', 'XLB', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-03-31,"['XLK', 'XLC', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-04-30,"['XLP', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-05-31,"['XLK', 'XLC', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-06-30,"['XLC', 'XLY', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-07-31,"['XLK', 'XLY', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-08-31,"['XLE', 'XLI', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-09-30,"['XLE', 'XLC', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-10-31,"['XLE', 'XLC', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-11-30,"['XLF', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-12-31,"['XLK', 'XLRE', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-01-31,"['XLF', 'XLV', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-02-29,"['XLV', 'XLI', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-03-31,"['XLV', 'XLF', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-04-30,"['XLE', 'XLU', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-05-31,"['XLU', 'XLE', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-06-30,"['XLC', 'XLK', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-07-31,"['XLRE', 'XLU', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-08-31,"['XLRE', 'XLV', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-09-30,"['XLU', 'XLRE', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-10-31,"['XLC', 'XLI', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-11-30,"['XLC', 'XLY', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-12-31,"['XLC', 'XLF', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
